ReT,In_v,Tar,Gas,Char,Out_T
793.15,6.2,0.566612,0.217312,0.216076,777.504
793.15,6.4,0.569784,0.216384,0.213832,777.718
793.15,6.6,0.572956,0.215456,0.211588,777.932
793.15,6.8,0.576128,0.214528,0.209344,778.146
793.15,7,0.5793,0.2136,0.2071,778.36
803.15,4,0.52234,0.27018,0.20748,788.986
803.15,4.2,0.52546,0.265684,0.209016,788.2772
803.15,4.4,0.52858,0.261188,0.210552,787.5684
803.15,4.6,0.5317,0.256692,0.212088,786.8596
803.15,4.8,0.53482,0.252196,0.213624,786.1508
803.15,5,0.53794,0.2477,0.21516,785.442
803.15,5.2,0.542324,0.242612,0.215704,785.3936
803.15,5.4,0.546708,0.237524,0.216248,785.3452
803.15,5.6,0.551092,0.232436,0.216792,785.2968
803.15,5.8,0.555476,0.227348,0.217336,785.2484
803.15,6,0.55986,0.22226,0.21788,785.2
803.15,6.2,0.562408,0.222288,0.215304,785.314
803.15,6.4,0.564956,0.222316,0.212728,785.428
803.15,6.6,0.567504,0.222344,0.210152,785.542
803.15,6.8,0.570052,0.222372,0.207576,785.656
803.15,7,0.5726,0.2224,0.205,785.77
813.15,4,0.51582,0.27834,0.20584,796.128
813.15,4.2,0.5193,0.273012,0.207768,795.4696
813.15,4.4,0.52278,0.267684,0.209696,794.8112
813.15,4.6,0.52626,0.262356,0.211624,794.1528
813.15,4.8,0.52974,0.257028,0.213552,793.4944
813.15,5,0.53322,0.2517,0.21548,792.836
813.15,5.2,0.537832,0.246616,0.215872,792.8908
813.15,5.4,0.542444,0.241532,0.216264,792.9456
813.15,5.6,0.547056,0.236448,0.216656,793.0004
813.15,5.8,0.551668,0.231364,0.217048,793.0552
813.15,6,0.55628,0.22628,0.21744,793.11
813.15,6.2,0.558204,0.227264,0.214532,793.124
813.15,6.4,0.560128,0.228248,0.211624,793.138
813.15,6.6,0.562052,0.229232,0.208716,793.152
813.15,6.8,0.563976,0.230216,0.205808,793.166
813.15,7,0.5659,0.2312,0.2029,793.18
823.15,4,0.5093,0.2865,0.2042,803.27
823.15,4.2,0.51314,0.28034,0.20652,802.662
823.15,4.4,0.51698,0.27418,0.20884,802.054
823.15,4.6,0.52082,0.26802,0.21116,801.446
823.15,4.8,0.52466,0.26186,0.21348,800.838
823.15,5,0.5285,0.2557,0.2158,800.23
823.15,5.2,0.53334,0.25062,0.21604,800.388
823.15,5.4,0.53818,0.24554,0.21628,800.546
823.15,5.6,0.54302,0.24046,0.21652,800.704
823.15,5.8,0.54786,0.23538,0.21676,800.862
823.15,6,0.5527,0.2303,0.217,801.02
823.15,6.2,0.554,0.23224,0.21376,800.934
823.15,6.4,0.5553,0.23418,0.21052,800.848
823.15,6.6,0.5566,0.23612,0.20728,800.762
823.15,6.8,0.5579,0.23806,0.20404,800.676
823.15,7,0.5592,0.24,0.2008,800.59
